Program;Program EN;Degree;Plan;Version;Total Hours;Level;Code;Course Name;English Name;Hours;Type;Category
الشريعة;Sharia;بكالوريوس;قديمة;39;174;7;1034101-2;البلاغة;;2;نظري;متطلبات جامعية
الشريعة;Sharia;بكالوريوس;قديمة;39;174;8;2001148-2;الخلاف والمناظرة;Disagreement & Argumentation;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;8;2001346-2;مقاصد الشريعة;;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;8;2001375-2;مذاهب فكرية معاصرة;;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;8;2001383-2;الاقتصاد الإسالمي;;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;8;2001420-2;التدريبات العملية;;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;8;2001421-4;الفقه (8);;4;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;8;2001425-2;القواعد الفقهية (2);;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;8;2001433-2;الاجتهاد والتعارض والترجيح;;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;8;2001465-2;فقه النوازل;;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;8;2002421-1;القرآن الكريم (8);;1;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;8;990113-2;الثقافة الصحية;;2;نظري;متطلبات جامعية
الشريعة;Sharia;بكالوريوس;قديمة;39;174;8;990312-2;الابتكار وريادة الأعمال;;2;نظري;متطلبات جامعية
الشريعة;Sharia;بكالوريوس;قديمة;39;174;8;990411-2;مبادئ البرمجة;;2;نظري;متطلبات جامعية
الشريعة;Sharia;بكالوريوس;قديمة;39;174;8;990412-2;المواطنة الرقمية;;2;نظري;متطلبات جامعية
