Program;Degree;Code;Course Name;نوع المقرر
القراءات;بكالوريوس;2002401-2;القراءات الثالث (1);فريد
القراءات;بكالوريوس;2002402-4;عرض القراءات الثالث (1);فريد
القراءات;بكالوريوس;2002405-2;مناهج البحث;مشترك
القراءات;بكالوريوس;2002406-2;التقنيات الحديثة في الدراسات القرآنية;مشترك
القراءات;بكالوريوس;2002425-2;علم الضبط;فريد
القراءات;بكالوريوس;2004414-2;ثقافة إسلامية (4);مشترك
القراءات;بكالوريوس;2001474-2;العقيدة (4);مشترك
القراءات;بكالوريوس;2002407-2;القراءات الثالث (2);فريد
القراءات;بكالوريوس;2002408-4;عرض القراءات الثالث (2);فريد
القراءات;بكالوريوس;2002409-2;علم عد الآي;فريد
القراءات;بكالوريوس;2002410-2;الانتصار للقرآن;مشترك
القراءات;بكالوريوس;2002412-2;قاعة بحث قراءات;مشترك
القراءات;بكالوريوس;2002456-2;إعجاز القرآن الكريم;مشترك
القراءات;بكالوريوس;990113-2;الثقافة الصحية;مشترك
القراءات;بكالوريوس;990312-2;الابتكار وريادة الأعمال;مشترك
القراءات;بكالوريوس;990411-2;مبادئ البرمجة;مشترك
القراءات;بكالوريوس;990412-2;المواطنة الرقمية;مشترك
القراءات;بكالوريوس;990413-2;السيرة النبوية;مشترك
القراءات;بكالوريوس;990415-2;تلاوة وتجويد;مشترك
القراءات;بكالوريوس;990416-2;الإعلام والمجتمع;مشترك
القراءات;بكالوريوس;990417-2;الخدمة المجتمعية;مشترك
القرآن وعلومه;بكالوريوس;2001106-2;السيرة النبوية;مشترك
القرآن وعلومه;بكالوريوس;2001160-2;المدخل لدراسة الشريعة;مشترك
القرآن وعلومه;بكالوريوس;2002110-2;مدخل إلى علوم القراءات;مشترك
القرآن وعلومه;بكالوريوس;2002114-2;تلاوة وحفظ (1);فريد
القرآن وعلومه;بكالوريوس;2002115-2;التجويد (1);مشترك
القرآن وعلومه;بكالوريوس;2002116-2;آداب حملة القرآن;مشترك
القرآن وعلومه;بكالوريوس;2002117-2;تاريخ التفسير;مشترك
القرآن وعلومه;بكالوريوس;2002131-2;علوم القرآن (1);مشترك
القرآن وعلومه;بكالوريوس;103171-2;التحرير العربي;مشترك
القرآن وعلومه;بكالوريوس;990311-2;المهارات الجامعية;مشترك
القرآن وعلومه;بكالوريوس;999812-2;اللغة الانجليزية للأغراض الأكاديمية (1);مشترك
